,budget,tconst,poster_path,production_countries,revenue,status,production_companies_name,production_companies_country,Unnamed: 0,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,nconst,category,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,genre,director_principal
55614,0,tt7715202,/6uF4MtjUuee9CrlzMr4u9bzEz7P.jpg,['IN'],0,Released,['Sun Pictures'],['IN'],65700,movie,Sarkar,0,2018-01-01,163,"Action,Drama",6.7,20771,nm1436693,nm0006246,composer,unknown,A.R. Rahman,1967-01-01,,"music_artist,composer,soundtrack","tt0169102,tt1010048,tt3148502,tt1839596",Sarkar,Action,A.R. Murugadoss
55623,50000000,tt7959026,/klazQbxk3yfuZ8JcfO9jdKOZQJ7.jpg,"['CA', 'US']",174804407,Released,"['Imperative Entertainment', 'Bron Studios', 'Malpaso Productions', 'Warner Bros. Pictures', 'Creative Wealth Media Finance']","['US', 'CA', 'US', 'US', 'CA']",14693,movie,The Mule,0,2018-01-01,116,"Crime,Drama,Thriller",7.0,141969,nm0000142,nm0000142,actor,"[""Earl Stone""]",Clint Eastwood,1930-01-01,,"actor,producer,director","tt0112579,tt1205489,tt0105695,tt0405159",La mule,Crime,Clint Eastwood
55633,0,tt7638344,/vIVKzzPA7hrSZpEwofB7Luo83kO.jpg,['IN'],0,Released,"['Zee Studios', 'Dharma Productions']","['IN', 'IN']",76997,movie,Dhadak,0,2018-01-01,138,"Drama,Romance",4.5,10208,nm4264671,nm0424103,producer,unknown,Karan Johar,1972-01-01,,"producer,actor,writer","tt0347304,tt1188996,tt0172684,tt0248126",Dhadak,Drama,Shashank Khaitan
55643,11000000,tt7984734,/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,"['BR', 'CA', 'US']",18129854,Released,"['A24', 'RT Features', 'New Regency Pictures', 'Parts and Labor', 'Maiden Voyage Pictures']","['US', 'BR', 'US', 'US', 'GB']",51746,movie,The Lighthouse,0,2019-01-01,109,"Drama,Fantasy,Mystery",7.4,227591,nm3211470,nm0000353,actor,"[""Thomas Wake""]",Willem Dafoe,1955-01-01,,"actor,soundtrack,producer","tt5649144,tt0145487,tt7984734,tt6938828",The Lighthouse,Drama,Robert Eggers
55653,0,tt0993840,/z8CExJekGrEThbpMXAmCFvvgoJR.jpg,['US'],780000,Released,['The Stone Quarry'],['US'],78251,movie,Army of the Dead,0,2021-01-01,148,"Action,Crime,Drama",5.7,177071,nm0811583,nm1703612,writer,unknown,Joby Harold,,,"producer,writer,director","tt5090568,tt8466564,tt0439572,tt1631867",Army of the Dead,Action,Zack Snyder
55663,0,tt7525778,/70mP0nwUmtaL44Y8aoUn6uBjJON.jpg,['US'],0,Released,"['Campfire Studios', 'Red Hour']","['US', 'US']",86593,movie,The Package,0,2018-01-01,94,"Comedy,Thriller",5.6,19458,nm2021516,nm1895871,producer,unknown,Ross M. Dinerstein,,,"producer,writer","tt11188154,tt11210146,tt15286764,tt1772925",Le paquet,Comedy,Jake Szymanski
55673,16000000,tt2126357,/maUMIZVGs8g1hYtq4dQ9Lg9FtVF.jpg,['US'],72282227,Released,"['STX Entertainment', 'Nuyorican Productions', 'Universal Pictures']","['US', 'US', 'US']",35025,movie,Second Act,0,2018-01-01,103,"Comedy,Drama,Romance",5.8,28693,nm0781842,nm0001852,actor,"[""Anderson Clarke""]",Treat Williams,1951-01-01,,"actor,soundtrack,director","tt0117331,tt0114660,tt0079261,tt0118956",Seconde chance,Comedy,Peter Segal
55682,0,tt7725626,/9XXABbZY62OWkkjUDPVysMTs7fc.jpg,['IN'],0,Released,['Sathya Jyothi Films'],['IN'],84395,movie,Viswasam,0,2019-01-01,153,"Action,Drama",6.6,10132,nm2350892,nm1521381,actress,"[""Niranjana""]",Nayanthara,1984-01-01,,"actress,producer","tt6270936,tt3203910,tt5128328,tt5372466",Viswasam,Action,Siva
55692,6000000,tt6774786,/hr7MFQAmP30IJZP2FXKhPKbe8IW.jpg,['AU'],0,Released,"['Film Mode Entertainment', 'Saban Films', 'Sparke Films']","['', 'US', '']",40409,movie,Occupation,0,2018-01-01,119,"Action,Drama,Sci-Fi",4.5,16779,nm1543645,nm0817748,actor,"[""Alien Leader""]",Bruce Spence,1945-01-01,,actor,"tt0167260,tt0121766,tt0118929,tt0082694",Invaders,Action,Luke Sparke
55701,1000000,tt7961060,/f03YksE4NggUjG75toz4H1YAGRf.jpg,"['JP', 'US']",125002821,Released,"['Toei Animation', 'Fox International Productions', 'Shueisha', 'Fuji Television Network', 'Bandai Namco Entertainment', 'Toei Company', '20th Century Fox', '20th Century Fox Animation']","['JP', 'US', 'JP', 'JP', 'JP', 'JP', 'US', 'US']",75752,movie,Dragon Ball Super: Broly,0,2018-01-01,100,"Action,Adventure,Animation",7.7,29114,nm0619110,nm0637586,actress,"[""Son Gokû"",""Son Goten"",""Bardock""]",Masako Nozawa,1936-01-01,,"actress,soundtrack","tt0088509,tt2263944,tt3208522,tt0142251",Dragon Ball Super: Broly,Action,Tatsuya Nagamine
55711,0,tt7255568,/x0DnphtJe7WxzHX0aCdDP7CT0nD.jpg,['IN'],0,Released,"['Dharma Productions', 'Star Studios']","['IN', 'IN']",76987,movie,Student of the Year 2,0,2019-01-01,146,"Action,Comedy,Drama",2.1,21261,nm1159647,nm0424103,writer,unknown,Karan Johar,1972-01-01,,"producer,actor,writer","tt0347304,tt1188996,tt0172684,tt0248126",Student of the Year 2,Action,Punit Malhotra
55721,0,tt7390588,/oQvUq7UmumBTcAnvgFLFvegY47d.jpg,"['AU', 'GB', 'US']",0,Released,"['Screen Australia', 'Create NSW', 'Protagonist Pictures', 'Made Up Stories', 'Snoot Entertainment']","['AU', 'AU', 'GB', 'US', 'US']",84261,movie,Little Monsters,0,2019-01-01,93,"Comedy,Horror,Sci-Fi",6.3,18159,nm0287082,nm1542397,actor,"[""Dave""]",Alexander England,,,"actor,music_department,soundtrack","tt2316204,tt2827412,tt2404233,tt2358586",Little Monsters,Comedy,Abe Forsythe
55731,10000000,tt6857166,/6ORGBbOA45pfKQXvntPf46NoFGO.jpg,['US'],78720293,Released,['June Pictures'],['US'],15083,movie,Book Club,0,2018-01-01,104,"Comedy,Drama,Romance",6.1,29146,nm2250139,nm0000404,actress,"[""Vivian""]",Jane Fonda,1937-01-01,,"actress,producer,soundtrack","tt0067309,tt0369735,tt3312830,tt0062711",Le Book Club,Comedy,Bill Holderman
